INIT,NATUREZA DA OCORRÊNCIA
xyz,MORTE A BALA / LESÃO CORPORAL A BALA / TENTATIVA DE ROUBO / ARMA APREENDIDA 
xyz,MORTE A BALA 
xyz,MORTE A BALA 
xyz,MORTES A BALA 
xyz,MORTE A BALA 
xyz,PORTE ILEGAL DE ARMA (FLAGRANTE) 
xyz,LESÃO CORPORAL A FACA (FLAGRANTE) 
xyz,ROUBO A PESSOA (FLAGRANTE) 
xyz,APREENSÃO DE ENTORPECENTES 
xyz,FURTO A PESSOA (FLAGRANTE) 
xyz,LESÃO CORPORAL A OUTROS (FLAGRANTE) 
xyz,LESÃO CORPORAL A FACA (FLAGRANTE) 
xyz,LESÃO CORPORAL A BALA (FLAGRANTE) 
xyz,AGRESSÃO/VIAS DE FATO (FLAGRANTE) 
xyz,VEÍCULO LOCALIZADO 
xyz,VEÍCULO LOCALIZADO 
xyz,VEÍCULO LOCALIZADO 
xyz,VEÍCULO LOCALIZADO (FLAGRANTE) 
xyz,VEÍCULO LOCALIZADO 
